temp_c,humidity,wind_kmh,rain_prob,days_since_spray,stage_encoded,min_interval,growth_stage,label
14.4,30.6,26,20.7,18,3,14,Pink Bud,DELAY
3.1,31.1,15.7,43.1,15,2,14,Tight Cluster,DELAY
27.2,52.3,19.2,33.3,17,6,14,Fruitlet,DELAY
7.7,52.5,16.4,31.5,19,0,21,Delayed Dormancy,DELAY
17.2,43.8,2.9,1,18,3,14,Pink Bud,SPRAY
15.6,60.9,25.3,43.6,17,3,14,Pink Bud,DELAY
27.4,28,15.6,33.7,11,11,14,Fruit Development-IV,DELAY
15.7,54.5,25.3,29.9,13,7,14,Fruit Set,DELAY
27.3,69.4,13.1,44,15,6,14,Fruitlet,DELAY
-3.1,61.1,11.8,21.7,15,7,14,Fruit Set,SKIP
16.4,29.3,26.6,42,16,1,14,Green Tip,DELAY
39.8,28.6,2,20.9,18,10,14,Fruit Development-III,SKIP
17.4,62.9,17.8,54.9,12,8,14,Fruit Development-I,DELAY
27.2,36.1,1.8,15,20,15,21,Dormancy,SPRAY
-1.3,60.8,1.6,24.8,20,12,14,Pre-Harvest,SKIP
14.2,44.1,14.5,25.1,16,8,14,Fruit Development-I,DELAY
29.4,58,13.7,43.8,17,8,14,Fruit Development-I,DELAY
20.9,86.1,7.4,52,16,6,14,Fruitlet,DELAY
28.3,58.3,28.1,1.6,20,15,21,Dormancy,DELAY
31.4,88.6,20.5,28.8,16,2,14,Tight Cluster,DELAY
7.9,59.3,21.7,53.9,20,15,21,Dormancy,DELAY
16.4,68.7,18,52,14,6,14,Fruitlet,DELAY
16.8,53.5,2.5,4.8,15,3,14,Pink Bud,SPRAY
27.2,32.8,2.6,14.7,16,1,14,Green Tip,SPRAY
33.8,62.5,15.9,39.2,10,4,10,Flowering,DELAY
-2.5,60.4,13.8,2.8,17,6,14,Fruitlet,SKIP
5.9,37.5,20.6,29.2,12,10,14,Fruit Development-III,DELAY
33.5,29.9,24.9,50.7,11,8,14,Fruit Development-I,DELAY
21.5,26,13.5,47.6,12,1,14,Green Tip,DELAY
19.3,81.2,26.4,29.9,11,5,14,Petal Fall,DELAY
39.4,29.3,4.2,27.1,18,12,14,Pre-Harvest,SKIP
4.1,63,20,50.6,12,1,14,Green Tip,DELAY
4.9,37.1,21.5,45.3,12,1,14,Green Tip,DELAY
14.4,53.8,8.7,11.7,9,12,14,Pre-Harvest,SPRAY
9.4,71.6,15.8,36.9,16,10,14,Fruit Development-III,DELAY
35.4,85.8,12.1,43.6,15,9,14,Fruit Development-II,DELAY
20.1,60.3,4.9,55.3,15,3,14,Pink Bud,DELAY
0.8,60.1,7.8,26.1,14,11,14,Fruit Development-IV,SKIP
24.8,36.2,3.1,4.6,16,4,10,Flowering,SPRAY
32.7,57.9,16,52.2,11,6,14,Fruitlet,DELAY
31.9,27.9,17.3,28.9,13,2,14,Tight Cluster,DELAY
21.9,52.8,12.2,27.3,16,5,14,Petal Fall,DELAY
32,62.9,14.4,28.8,9,4,10,Flowering,DELAY
30.7,80.9,26.4,31.3,12,11,14,Fruit Development-IV,DELAY
28.5,46.3,8.7,4.3,3,3,14,Pink Bud,SKIP
31.2,82.3,12.4,47.1,13,5,14,Petal Fall,DELAY
33.1,77.7,16.3,48.6,0,13,0,Harvest,DELAY
32.9,39.5,25.1,38.8,13,12,14,Pre-Harvest,DELAY
17.8,66.1,1,89.1,16,7,14,Fruit Set,DELAY
32.4,46.5,12.4,51.3,13,12,14,Pre-Harvest,DELAY
37.4,27.5,21.5,35.4,17,5,14,Petal Fall,DELAY
37.4,32.5,26.4,30.7,11,10,14,Fruit Development-III,DELAY
24.1,67.6,10.3,5.5,1,13,0,Harvest,SPRAY
35.1,65.5,22.6,28.7,13,2,14,Tight Cluster,DELAY
13.7,70.3,20.9,30.8,16,9,14,Fruit Development-II,DELAY
34.5,65,16.8,41.4,11,12,14,Pre-Harvest,DELAY
